array_type;size;algorithm;time_microseconds;char_comparisons
reverse_sorted;1100;MsdRadixSort;2832;5328
reverse_sorted;1100;MsdRadixSortWithQuickSort;968;6936
reverse_sorted;1200;QuickSort;9039;163557
reverse_sorted;1200;MergeSort;2768;9330
reverse_sorted;1200;StringQuickSort;466;10465
reverse_sorted;1200;StringMergeSort;5343;4255
reverse_sorted;1200;MsdRadixSort;1701;5802
reverse_sorted;1200;MsdRadixSortWithQuickSort;544;7587
reverse_sorted;1300;QuickSort;6008;184676
reverse_sorted;1300;MergeSort;2311;10248
reverse_sorted;1300;StringQuickSort;514;11596
reverse_sorted;1300;StringMergeSort;9626;4679
reverse_sorted;1300;MsdRadixSort;1923;6292
reverse_sorted;1300;MsdRadixSortWithQuickSort;595;8212
reverse_sorted;1400;QuickSort;7545;206757
reverse_sorted;1400;MergeSort;2549;11172
reverse_sorted;1400;StringQuickSort;563;12584
reverse_sorted;1400;StringMergeSort;9583;5066
reverse_sorted;1400;MsdRadixSort;3410;6782
reverse_sorted;1400;MsdRadixSortWithQuickSort;756;8847
reverse_sorted;1500;QuickSort;7890;230965
reverse_sorted;1500;MergeSort;2879;12117
reverse_sorted;1500;StringQuickSort;644;13595
reverse_sorted;1500;StringMergeSort;6743;5496
reverse_sorted;1500;MsdRadixSort;2139;7254
reverse_sorted;1500;MsdRadixSortWithQuickSort;685;9493
reverse_sorted;1600;QuickSort;8182;238890
reverse_sorted;1600;MergeSort;3279;12909
reverse_sorted;1600;StringQuickSort;688;14707
reverse_sorted;1600;StringMergeSort;9244;5745
reverse_sorted;1600;MsdRadixSort;2355;7760
reverse_sorted;1600;MsdRadixSortWithQuickSort;761;10157
reverse_sorted;1700;QuickSort;8354;234952
reverse_sorted;1700;MergeSort;3335;13980
reverse_sorted;1700;StringQuickSort;766;15790
reverse_sorted;1700;StringMergeSort;10596;6285
reverse_sorted;1700;MsdRadixSort;2904;8268
reverse_sorted;1700;MsdRadixSortWithQuickSort;788;10793
reverse_sorted;1800;QuickSort;9131;240456
reverse_sorted;1800;MergeSort;3504;14913
reverse_sorted;1800;StringQuickSort;762;16906
reverse_sorted;1800;StringMergeSort;7732;6615
reverse_sorted;1800;MsdRadixSort;2615;8756
reverse_sorted;1800;MsdRadixSortWithQuickSort;830;11445
reverse_sorted;1900;QuickSort;8462;240524
reverse_sorted;1900;MergeSort;3497;15876
reverse_sorted;1900;StringQuickSort;795;17872
reverse_sorted;1900;StringMergeSort;11259;7040
reverse_sorted;1900;MsdRadixSort;3597;9238
reverse_sorted;1900;MsdRadixSortWithQuickSort;1374;12056
reverse_sorted;2000;QuickSort;12552;246223
reverse_sorted;2000;MergeSort;4811;17091
reverse_sorted;2000;StringQuickSort;1116;19120
reverse_sorted;2000;StringMergeSort;12365;7561
reverse_sorted;2000;MsdRadixSort;3573;9712
reverse_sorted;2000;MsdRadixSortWithQuickSort;976;12716
reverse_sorted;2100;QuickSort;9619;254272
reverse_sorted;2100;MergeSort;3930;17907
reverse_sorted;2100;StringQuickSort;923;20386
reverse_sorted;2100;StringMergeSort;13374;7894
reverse_sorted;2100;MsdRadixSort;5411;10190
reverse_sorted;2100;MsdRadixSortWithQuickSort;1069;13307
reverse_sorted;2200;QuickSort;10401;276352
reverse_sorted;2200;MergeSort;4219;18545
reverse_sorted;2200;StringQuickSort;1027;21084
reverse_sorted;2200;StringMergeSort;11271;8143
reverse_sorted;2200;MsdRadixSort;3483;10672
reverse_sorted;2200;MsdRadixSortWithQuickSort;1020;13928
reverse_sorted;2300;QuickSort;10539;304340
reverse_sorted;2300;MergeSort;6770;19415
reverse_sorted;2300;StringQuickSort;1880;22332
reverse_sorted;2300;StringMergeSort;15238;8499
reverse_sorted;2300;MsdRadixSort;5092;11158
reverse_sorted;2300;MsdRadixSortWithQuickSort;1942;14560
reverse_sorted;2400;QuickSort;16305;323296
reverse_sorted;2400;MergeSort;4769;20156
reverse_sorted;2400;StringQuickSort;1556;23356
reverse_sorted;2400;StringMergeSort;14462;8795
reverse_sorted;2400;MsdRadixSort;3551;11640
reverse_sorted;2400;MsdRadixSortWithQuickSort;1156;15201
reverse_sorted;2500;QuickSort;16351;348030
reverse_sorted;2500;MergeSort;8041;21042
reverse_sorted;2500;StringQuickSort;1478;24550
reverse_sorted;2500;StringMergeSort;17369;9142
reverse_sorted;2500;MsdRadixSort;3652;12102
reverse_sorted;2500;MsdRadixSortWithQuickSort;1153;15836
reverse_sorted;2600;QuickSort;17698;369845
reverse_sorted;2600;MergeSort;9134;21770
reverse_sorted;2600;StringQuickSort;1799;25808
reverse_sorted;2600;StringMergeSort;17204;9368
reverse_sorted;2600;MsdRadixSort;4639;12580
reverse_sorted;2600;MsdRadixSortWithQuickSort;1196;16458
reverse_sorted;2700;QuickSort;17345;389726
reverse_sorted;2700;MergeSort;8862;22752
reverse_sorted;2700;StringQuickSort;1350;26817
reverse_sorted;2700;StringMergeSort;16941;9803
reverse_sorted;2700;MsdRadixSort;4582;13064
reverse_sorted;2700;MsdRadixSortWithQuickSort;2288;17108
reverse_sorted;2800;QuickSort;19147;413687
reverse_sorted;2800;MergeSort;6992;23791
reverse_sorted;2800;StringQuickSort;1362;27976
reverse_sorted;2800;StringMergeSort;14504;10235
reverse_sorted;2800;MsdRadixSort;4608;13550
reverse_sorted;2800;MsdRadixSortWithQuickSort;1490;17786
reverse_sorted;2900;QuickSort;20041;444118
reverse_sorted;2900;MergeSort;8276;24798
reverse_sorted;2900;StringQuickSort;1313;29092
reverse_sorted;2900;StringMergeSort;13585;10728
reverse_sorted;2900;MsdRadixSort;4310;14036
reverse_sorted;2900;MsdRadixSortWithQuickSort;1408;18415
reverse_sorted;3000;QuickSort;17727;463887
reverse_sorted;3000;MergeSort;10535;25792
reverse_sorted;3000;StringQuickSort;2496;30366
reverse_sorted;3000;StringMergeSort;21449;11094
reverse_sorted;3000;MsdRadixSort;5011;14502
reverse_sorted;3000;MsdRadixSortWithQuickSort;2607;19071
nearly_sorted;100;QuickSort;907;14228
nearly_sorted;100;MergeSort;228;816
nearly_sorted;100;StringQuickSort;63;638
nearly_sorted;100;StringMergeSort;594;368
nearly_sorted;100;MsdRadixSort;251;460
nearly_sorted;100;MsdRadixSortWithQuickSort;88;567
nearly_sorted;200;QuickSort;1746;29417
nearly_sorted;200;MergeSort;379;1819
nearly_sorted;200;StringQuickSort;92;1420
nearly_sorted;200;StringMergeSort;710;775
nearly_sorted;200;MsdRadixSort;237;914
nearly_sorted;200;MsdRadixSortWithQuickSort;93;1205
nearly_sorted;300;QuickSort;1573;44614
nearly_sorted;300;MergeSort;449;2944
nearly_sorted;300;StringQuickSort;112;2229
nearly_sorted;300;StringMergeSort;1214;1246
nearly_sorted;300;MsdRadixSort;549;1364
nearly_sorted;300;MsdRadixSortWithQuickSort;235;1781
nearly_sorted;400;QuickSort;2545;55098
nearly_sorted;400;MergeSort;616;4078
nearly_sorted;400;StringQuickSort;173;3088
nearly_sorted;400;StringMergeSort;1468;1663
nearly_sorted;400;MsdRadixSort;493;1844
nearly_sorted;400;MsdRadixSortWithQuickSort;176;2391
nearly_sorted;500;QuickSort;2472;71745
nearly_sorted;500;MergeSort;930;5070
nearly_sorted;500;StringQuickSort;400;3986
nearly_sorted;500;StringMergeSort;3355;2057
nearly_sorted;500;MsdRadixSort;1121;2322
nearly_sorted;500;MsdRadixSortWithQuickSort;399;3016
nearly_sorted;600;QuickSort;5376;84714
nearly_sorted;600;MergeSort;1304;6560
nearly_sorted;600;StringQuickSort;249;4847
nearly_sorted;600;StringMergeSort;2492;2593
nearly_sorted;600;MsdRadixSort;827;2814
nearly_sorted;600;MsdRadixSortWithQuickSort;304;3640
nearly_sorted;700;QuickSort;5187;101003
nearly_sorted;700;MergeSort;1350;7852
nearly_sorted;700;StringQuickSort;297;5883
nearly_sorted;700;StringMergeSort;2852;3077
nearly_sorted;700;MsdRadixSort;911;3296
nearly_sorted;700;MsdRadixSortWithQuickSort;314;4271
nearly_sorted;800;QuickSort;4295;114800
nearly_sorted;800;MergeSort;1794;9094
nearly_sorted;800;StringQuickSort;385;6655
nearly_sorted;800;StringMergeSort;3311;3563
nearly_sorted;800;MsdRadixSort;1179;3772
nearly_sorted;800;MsdRadixSortWithQuickSort;357;4885
nearly_sorted;900;QuickSort;6018;133205
nearly_sorted;900;MergeSort;1681;10421
nearly_sorted;900;StringQuickSort;494;8543
nearly_sorted;900;StringMergeSort;6432;4019
nearly_sorted;900;MsdRadixSort;2234;4242
nearly_sorted;900;MsdRadixSortWithQuickSort;718;5509
nearly_sorted;1000;QuickSort;8847;143460
nearly_sorted;1000;MergeSort;3300;11494
nearly_sorted;1000;StringQuickSort;1026;9914
nearly_sorted;1000;StringMergeSort;6507;4485
nearly_sorted;1000;MsdRadixSort;2257;4728
nearly_sorted;1000;MsdRadixSortWithQuickSort;830;6143
nearly_sorted;1100;QuickSort;8367;163508
nearly_sorted;1100;MergeSort;3585;13078
nearly_sorted;1100;StringQuickSort;993;10371
nearly_sorted;1100;StringMergeSort;5864;5047
nearly_sorted;1100;MsdRadixSort;1975;5208
nearly_sorted;1100;MsdRadixSortWithQuickSort;741;6755
nearly_sorted;1200;QuickSort;6274;172791
nearly_sorted;1200;MergeSort;2201;14645
nearly_sorted;1200;StringQuickSort;603;11163
nearly_sorted;1200;StringMergeSort;6046;5668
nearly_sorted;1200;MsdRadixSort;2376;5702
nearly_sorted;1200;MsdRadixSortWithQuickSort;893;7438
nearly_sorted;1300;QuickSort;7308;186896
nearly_sorted;1300;MergeSort;3545;16036
nearly_sorted;1300;StringQuickSort;670;12098
nearly_sorted;1300;StringMergeSort;6388;6162
nearly_sorted;1300;MsdRadixSort;1784;6188
nearly_sorted;1300;MsdRadixSortWithQuickSort;659;8125
nearly_sorted;1400;QuickSort;7925;209834
nearly_sorted;1400;MergeSort;2766;17408
nearly_sorted;1400;StringQuickSort;766;13365
nearly_sorted;1400;StringMergeSort;6336;6625
nearly_sorted;1400;MsdRadixSort;1910;6678
nearly_sorted;1400;MsdRadixSortWithQuickSort;750;8768
nearly_sorted;1500;QuickSort;7962;222852
nearly_sorted;1500;MergeSort;3010;18827
nearly_sorted;1500;StringQuickSort;769;14300
nearly_sorted;1500;StringMergeSort;8235;7208
nearly_sorted;1500;MsdRadixSort;2862;7184
nearly_sorted;1500;MsdRadixSortWithQuickSort;995;9456
nearly_sorted;1600;QuickSort;14514;236506
nearly_sorted;1600;MergeSort;4743;20244
nearly_sorted;1600;StringQuickSort;846;15469
nearly_sorted;1600;StringMergeSort;7910;7851
nearly_sorted;1600;MsdRadixSort;2296;7682
nearly_sorted;1600;MsdRadixSortWithQuickSort;750;10144
nearly_sorted;1700;QuickSort;8947;253003
nearly_sorted;1700;MergeSort;3365;21950
nearly_sorted;1700;StringQuickSort;925;16422
nearly_sorted;1700;StringMergeSort;7910;8472
nearly_sorted;1700;MsdRadixSort;2539;8162
nearly_sorted;1700;MsdRadixSortWithQuickSort;815;10822
nearly_sorted;1800;QuickSort;9636;264719
nearly_sorted;1800;MergeSort;3604;23311
nearly_sorted;1800;StringQuickSort;949;17395
nearly_sorted;1800;StringMergeSort;8248;9015
nearly_sorted;1800;MsdRadixSort;2546;8672
nearly_sorted;1800;MsdRadixSortWithQuickSort;859;11498
nearly_sorted;1900;QuickSort;10601;277167
nearly_sorted;1900;MergeSort;5853;24581
nearly_sorted;1900;StringQuickSort;1029;18738
nearly_sorted;1900;StringMergeSort;9093;9539
nearly_sorted;1900;MsdRadixSort;2836;9192
nearly_sorted;1900;MsdRadixSortWithQuickSort;1120;12226
nearly_sorted;2000;QuickSort;10679;291345
nearly_sorted;2000;MergeSort;7293;25926
nearly_sorted;2000;StringQuickSort;1274;19652
nearly_sorted;2000;StringMergeSort;9665;10172
nearly_sorted;2000;MsdRadixSort;4370;9682
nearly_sorted;2000;MsdRadixSortWithQuickSort;1466;12892
nearly_sorted;2100;QuickSort;13879;316283
nearly_sorted;2100;MergeSort;4432;27602
nearly_sorted;2100;StringQuickSort;1687;20959
nearly_sorted;2100;StringMergeSort;17795;10666
nearly_sorted;2100;MsdRadixSort;3133;10166
nearly_sorted;2100;MsdRadixSortWithQuickSort;1080;13561
nearly_sorted;2200;QuickSort;14088;330687
nearly_sorted;2200;MergeSort;4795;29251
nearly_sorted;2200;StringQuickSort;1359;21551
nearly_sorted;2200;StringMergeSort;10632;11185
nearly_sorted;2200;MsdRadixSort;3214;10664
nearly_sorted;2200;MsdRadixSortWithQuickSort;1065;14302
nearly_sorted;2300;QuickSort;11772;334161
nearly_sorted;2300;MergeSort;4779;30844
nearly_sorted;2300;StringQuickSort;1920;22805
nearly_sorted;2300;StringMergeSort;12304;11941
nearly_sorted;2300;MsdRadixSort;3720;11148
nearly_sorted;2300;MsdRadixSortWithQuickSort;1261;14977
nearly_sorted;2400;QuickSort;15083;354346
nearly_sorted;2400;MergeSort;5918;32384
nearly_sorted;2400;StringQuickSort;1304;23686
nearly_sorted;2400;StringMergeSort;19303;12560
nearly_sorted;2400;MsdRadixSort;4494;11680
nearly_sorted;2400;MsdRadixSortWithQuickSort;1160;15651
nearly_sorted;2500;QuickSort;14257;370078
nearly_sorted;2500;MergeSort;5224;33756
nearly_sorted;2500;StringQuickSort;1613;25145
nearly_sorted;2500;StringMergeSort;18989;13138
nearly_sorted;2500;MsdRadixSort;3658;12182
nearly_sorted;2500;MsdRadixSortWithQuickSort;1984;16388
nearly_sorted;2600;QuickSort;16979;388674
nearly_sorted;2600;MergeSort;5489;35290
nearly_sorted;2600;StringQuickSort;2005;27546
nearly_sorted;2600;StringMergeSort;13383;13644
nearly_sorted;2600;MsdRadixSort;3764;12656
nearly_sorted;2600;MsdRadixSortWithQuickSort;1354;17031
nearly_sorted;2700;QuickSort;16966;405057
nearly_sorted;2700;MergeSort;8601;36905
nearly_sorted;2700;StringQuickSort;1489;27711
